system_id,sentence
1,標的
1,台積電
1,分類多
1,分析/正文
1,"今年第三季靠近尾端了,打些第四季或明年展望的部分"
1,"投信機構目標價約落在對應約,約落在"
1,"營收/第三季營收約在億,月營收億"
1,但魏哲家透露毛利率會長期維持在以上而且直強調以上
1,普遍預測達財測上緣會超過
1,"第四季營收會再上升,全年應該是很高機率達成"
1,/市場普遍是給或
1,也開始有機構在討論有機會維持高成長
1,這樣推論的應該會落在
1,"毛利率/漲價/海外廠之前就提到台積電和客戶談好會漲價，部分應該是為了維持高毛利率,另部分應該就是為了海外廠毛利率較低,所以提前做準備"
1,"但會不會因次變成海外廠毛利率,台灣廠毛利率之類的可以觀察"
1,"如果因此讓台灣廠毛利率起提昇,會是大利多"
1,"另個方式應該就是之前傳聞的利用轉機或舊機台可能已經折舊完,減少閒置機台的成本這個對台積電可能是利多,但設備廠偏持平因為可能仍需要移機/改機,但會減少買機台的支出"
1,"而最近也有很多在說廠已經試產成功,有達到量產水準/母廠的良率原本是說明年量產"
1,"這對台積電未來在海外發展將是大利多,美國廠的先進製程能成功量產,那其他海外場應該順利擴廠機率會大非常多"
1,"雖然大家會講說可能講說台灣人/遠端的台灣廠員工協助不少,但最終就是達到在海外場有聘用不少海外人士的情況下完成量產"
1,產能利用些市場上不同篇的新聞
1,"晶片的是奈米家族,照黃仁勳之前講的,會每年出款新的,這有機會去填明年後或年的奈米家族,奈米家族的產能或其他考慮自研晶片的廠商,為了跟競爭,可能會被迫提早用最先進的製程來提升市場競爭力"
1,"般市場是預估現在還是次先進製程的戰爭,但等晶片達到使用最先進製程的時候,應該對台積電會有更大的議價空間"
1,"手機月初發表的會是,而高通最新的晶片也傳聞是聯發科有望打入三星手機的也是傳聞也是"
1,"在手機最先進的晶片的部分,可以說完成統"
1,"另個看點是/是不是都轉用之前會是前代如果都轉到,對台積電營收應該也是利多"
1,"晶片第/代晶片狀況不少,讓投台積電的變得更加重要年初就有傳聞下代會投明年台積電奈米這個傳聞看起來越來越成真上禮拜五晚上美國新聞也開始討論拆或賣掉的部分"
1,"這塊應該就是持續用最先進製程,等追上來了"
1,"礦機/照市場,譬如比特大陸持續段時間都會投最先進的製程來做礦機"
1,"慢慢會發現,需要先進製程的領域都慢慢被台積電統"
1,而半導體業主要會拆分成設計/製造/記憶體製造/封裝
1,"台積電會是製造龍頭,同時切入先進封裝的部分"
1,會不會重蹈先盛後衰的局面
1,"我認為當時對台積電有兩個最重要的問題,沒有跟著大家漲價"
1,"針對,這次台積電相關的擴產計畫感覺相對保守,按部就班在進行而且封裝廠的擴廠也沒有躁進,部分應該是為了上次喊出來的"
1,避免掉入被講壟斷市場的部分
1,"針對,台積電這次是帶頭喊漲價,對自己的產品/服務有信心而喊出來的然後客戶也接受"
1,"這可能很像通膨,但半導體產品漲價的幅度更高像手機直漲價，現在連要漲價了"
1,"或者像之前法說會下修大家展望,但自己展望並沒有變"
