system_id,word,ner
1,台積電,ORG
1,今年第三季,DATE
1,第四,ORDINAL
1,明年,DATE
1,第三,ORDINAL
1,魏哲家,PERSON
1,第四,ORDINAL
1,全年,DATE
1,台積電,ORG
1,高毛利率,PERSON
1,海外廠,ORG
1,海外廠,ORG
1,台灣廠,ORG
1,台灣廠,ORG
1,台積電,ORG
1,明年,DATE
1,台積電,ORG
1,美國廠,ORG
1,海外場,ORG
1,台灣人,NORP
1,台灣廠,ORG
1,海外場,LOC
1,黃仁勳,PERSON
1,明年後,DATE
1,台積電,ORG
1,月初,DATE
1,高通,ORG
1,聯發科,ORG
1,三星手機,ORG
1,台積電,ORG
1,台積電,ORG
1,年初,DATE
1,明年,DATE
1,台積電奈米,ORG
1,上禮拜五晚上,TIME
1,美國,GPE
1,台積電,ORG
1,台積電,ORG
1,台積電,ORG
1,兩,CARDINAL
1,台積電,ORG
1,台積電,ORG
1,美國,GPE
1,美國,GPE
1,美國廠,ORG
1,川普,PERSON
1,拜登,PERSON
1,台積電,ORG
1,台積電,ORG
1,布林,PERSON
1,歐印,PERSON
2,台灣,GPE
2,台積電,ORG
2,艾倫,PERSON
2,張忠謀,PERSON
2,四,CARDINAL
2,台積電,ORG
2,台灣,GPE
2,台灣,GPE
2,三萬,CARDINAL
3,台灣,GPE
3,宇峻齊,PERSON
3,新聞網,ORG
3,年月日週二上午,TIME
3,新聞網,ORG
3,蕭廷芬,PERSON
3,台北,GPE
3,萬,CARDINAL
3,周台股,PERSON
3,華碩技嘉,ORG
3,台灣,GPE
3,宇峻智,PERSON
3,中國,NORP
3,萬,CARDINAL
3,萬,CARDINAL
3,約元台幣,MONEY
3,億元台幣,MONEY
3,台灣,GPE
3,昨天,DATE
3,微星,ORG
3,昨天,DATE
3,華碩,ORG
3,威剛,ORG
3,中國,GPE
3,台灣,GPE
3,三,CARDINAL
3,仙劍,PRODUCT
3,軒轅劍,PERSON
3,三國誌,WORK_OF_ART
3,智崴元,PERSON
3,新聞網,ORG
3,中國,NORP
3,台灣,NORP
3,台灣,GPE
3,台積電,ORG
4,日週上午,TIME
4,袁顥庭,PERSON
4,台北,GPE
4,袁顥庭,PERSON
4,台北,GPE
4,年月日週上午,TIME
4,第三季,DATE
4,今年,DATE
4,陳建助,PERSON
4,月面板廠,ORG
4,大陸面板廠,ORG
4,兩周,DATE
4,陳建助,PERSON
4,今年,DATE
4,數十萬,CARDINAL
4,陳建助,PERSON
4,今年,DATE
4,大陸,GPE
4,華星光電,ORG
4,大陸面板廠,ORG
4,兩,CARDINAL
4,周,PERSON
4,陳建助,PERSON
4,奧運,EVENT
4,南茂哥,PERSON
4,四年,DATE
4,我國,NORP
4,宏達電,ORG
4,台灣,GPE
4,台積電,ORG
4,南茂哥,ORG
4,友達廠,ORG
5,台,GPE
5,新光金,ORG
5,中信金,ORG
5,台積電,ORG
5,聯鈞,ORG
5,聯亞,ORG
6,富邦金,ORG
6,新光金,ORG
6,國泰金,ORG
6,訊舟,ORG
6,長榮航,PERSON
6,燿華,ORG
6,華航,ORG
6,欣興,ORG
6,國票金,ORG
6,台中銀,ORG
6,中工,ORG
6,國泰台灣,GPE
6,復華富時,ORG
6,華新,ORG
6,富邦,ORG
6,士電,ORG
6,長華,PERSON
6,東台,GPE
6,國泰,ORG
6,昇陽半導體,ORG
6,毅嘉,ORG
6,映泰,ORG
6,明泰,ORG
6,三陽,ORG
6,亞光,ORG
6,楠梓電,ORG
6,富邦,ORG
6,國泰費城半導體,ORG
6,第金,GPE
6,健和興,ORG
6,昆盈,ORG
6,中華,GPE
6,仁寶,ORG
6,復華,ORG
6,日本,GPE
6,億,CARDINAL
6,正新,ORG
6,台新金,ORG
6,京元電子,ORG
6,東科,ORG
6,中信,ORG
6,台積電,ORG
6,中信金,ORG
6,群創,ORG
6,群益台灣,GPE
6,中石化,ORG
6,元大台灣,GPE
6,布蘭特,GPE
6,元大滬,PERSON
6,富邦恒,PERSON
6,復華,ORG
6,復華,ORG
6,香港,GPE
6,南亞,LOC
6,華邦,ORG
6,佳世達,ORG
6,台塑,ORG
6,台化,ORG
6,凌巨,PRODUCT
6,聯電,ORG
6,聯茂,ORG
6,華通,ORG
6,元大,ORG
6,台灣,GPE
6,寶成,ORG
6,緯創,ORG
6,台塑化,ORG
6,廣達,ORG
6,英業達,ORG
6,中信,ORG
6,中國,GPE
6,景碩,ORG
6,中環,GPE
6,金寶,ORG
6,臺企銀,ORG
6,旺宏,ORG
6,中鋼,ORG
6,凱基,ORG
6,美國,GPE
6,元大,ORG
6,台灣,GPE
6,潤泰新,ORG
6,永光,ORG
6,日月光投控,ORG
6,南茂,ORG
6,達麗,PERSON
6,大成鋼,ORG
7,三,CARDINAL
7,吳康瑋,PERSON
7,台積電,ORG
7,美國,GPE
7,亞利桑那州,GPE
7,美國,GPE
7,務管理局,ORG
7,駐台貿易投資辦事處所,ORG
7,台灣,GPE
7,亞利桑那,GPE
7,數十年,DATE
7,台積電,ORG
7,台積電,ORG
7,日前,DATE
7,亞利桑那州,GPE
7,明年上半年,DATE
7,第期晶圓廠,ORG
7,積電,ORG
7,第期,ORDINAL
7,億美元,MONEY
7,今日,DATE
7,台積電,ORG
7,亞利桑那州,GPE
7,明年初,DATE
7,第三,ORDINAL
7,台灣,NORP
7,台,GPE
7,台積電,ORG
7,亞利桑那州,GPE
7,台廠,ORG
7,熊本,GPE
7,台灣,GPE
7,第三,ORDINAL
7,美方,GPE
7,亞利桑納第三廠,ORG
7,台積電,ORG
8,台積電埃米,ORG
8,經濟日報,WORK_OF_ART
8,尹慧中,PERSON
8,台北,GPE
8,台積電,ORG
8,埃米級製程,ORG
8,台積電,ORG
8,台積電,ORG
8,台積電,ORG
8,台積電製程,ORG
8,蘋果,ORG
8,台積電,ORG
8,博通邁威爾,ORG
8,美商,NORP
8,四,CARDINAL
8,博通邁威爾,ORG
8,台積電,ORG
8,兩,CARDINAL
8,美商,NORP
8,台積電奈米,ORG
8,蘋果,ORG
8,今年月,DATE
8,台積電,ORG
8,台積電,ORG
8,埃米,PERSON
8,下半年,DATE
8,台灣,GPE
8,台積電,ORG
8,今天,DATE
9,台積電,ORG
9,美國,GPE
9,台積電,ORG
9,那天,DATE
10,年月日,DATE
10,臺灣證券交易所證券櫃檯買賣中心公司,ORG
10,年月日,DATE
10,前日,DATE
10,今日,DATE
10,金額仟元,MONEY
10,元大,ORG
10,台灣,GPE
10,元大,ORG
10,布蘭特,GPE
10,新光金,ORG
10,中信金,ORG
10,台積電,ORG
10,鴻海,ORG
10,華通,ORG
10,陽明,ORG
10,萬海,ORG
10,光洋科,ORG
11,八,CARDINAL
11,富邦金,ORG
11,元大,ORG
11,台灣,GPE
11,中信金,ORG
11,北基,ORG
11,大華優利,ORG
11,台新金,ORG
11,新光金,ORG
11,國泰金,ORG
11,復華,ORG
11,台灣,GPE
11,訊舟,ORG
11,凱基,ORG
11,元大,ORG
11,台灣,NORP
11,士電,ORG
11,彰銀,ORG
11,華航,ORG
11,元大,ORG
11,台灣,GPE
11,明泰,ORG
11,佳世達,ORG
11,穩懋,ORG
11,國泰股利,ORG
11,亞力,ORG
11,元翎,PERSON
11,力麒,ORG
11,台積電,ORG
11,台新,ORG
11,伍豐,ORG
11,台光,ORG
11,南茂,ORG
11,仁寶,ORG
11,皇昌,ORG
11,富邦金,ORG
11,台光,ORG
11,台積電,ORG
11,中信金,ORG
11,北基,ORG
11,今日,DATE
12,英特爾,ORG
12,工商時報,WORK_OF_ART
12,蕭麗君,PERSON
12,張珈睿,PERSON
12,英特爾,ORG
12,半世紀,DATE
12,路透,ORG
12,基辛格,PERSON
12,本月中旬,DATE
12,德國,GPE
12,台積,ORG
12,德國,GPE
12,億美元,MONEY
12,英特爾,ORG
12,億美元,MONEY
12,今年,DATE
12,英特爾,ORG
12,英特,ORG
12,中網通,ORG
12,邁威爾,ORG
12,英特爾,ORG
12,超微,ORG
12,邁威爾,ORG
12,英特爾,ORG
12,超微,ORG
12,網通大廠,ORG
12,輝達,PERSON
12,超微,ORG
12,德國廠,ORG
12,德國,GPE
12,台積電,ORG
13,台積電,ORG
13,美股,NORP
13,台積,ORG
13,幾天來,DATE
13,台積,ORG
13,費城半導體,ORG
13,美股,NORP
13,半台積,ORG
14,台積電嘉義廠,ORG
14,蔡宗勳,PERSON
14,蔡宗勳,PERSON
14,嘉義,GPE
14,台積電,ORG
14,嘉義科學園區,LOC
14,兩,CARDINAL
14,台積電太保廠,ORG
